weight_class,title_fight,card_section,card_position,event_venue_country,red_age,blue_age,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance,red_prior_fights,blue_prior_fights,red_prior_wins,blue_prior_wins,red_prior_win_rate,blue_prior_win_rate,red_prior_finish_wins,blue_prior_finish_wins,red_prior_finish_rate,blue_prior_finish_rate,red_prior_avg_duration,blue_prior_avg_duration,red_days_since_last_fight,blue_days_since_last_fight,age_diff,height_diff,reach_diff,prior_fights_diff,prior_win_rate_diff,prior_finish_rate_diff,prior_avg_duration_diff,days_since_last_fight_diff,stance_matchup,y_red_win
LIGHT_HEAVYWEIGHT,0,PRELIMS,6,Australia,27.887748117727583,29.642710472279262,193.04,190.5,200.66,190.5,orthodox,orthodox,3.0,5.0,3.0,2.0,1.0,0.4,1.0,2.0,0.3333333333333333,1.0,12.450000000000001,9.526,140.0,105.0,-1.7549623545516795,2.539999999999992,10.159999999999997,-2.0,0.6,-0.6666666666666667,2.9240000000000013,35.0,orthodox_vs_orthodox,1
LIGHTWEIGHT,0,MAIN_CARD,5,Australia,25.555099247091032,30.236824093086927,190.5,182.88,185.42,184.15,southpaw,orthodox,5.0,3.0,4.0,2.0,0.8,0.6666666666666666,2.0,1.0,0.5,0.5,7.252,6.783333333333334,231.0,539.0,-4.681724845995895,7.6200000000000045,1.2699999999999818,2.0,0.13333333333333341,0.0,0.4686666666666657,-308.0,southpaw_vs_orthodox,1
WELTERWEIGHT,0,MAIN_CARD,4,Australia,31.107460643394933,38.15195071868583,180.34,190.5,185.42,203.2,orthodox,orthodox,22.0,36.0,15.0,23.0,0.6818181818181818,0.6388888888888888,8.0,9.0,0.5333333333333333,0.391304347826087,11.252727272727272,11.962777777777779,77.0,56.0,-7.0444900752908985,-10.159999999999997,-17.78,-14.0,0.04292929292929293,0.14202898550724635,-0.710050505050507,21.0,orthodox_vs_orthodox,0
FEATHERWEIGHT,0,MAIN_CARD,3,Australia,31.89869952087611,31.71526351813826,170.18,172.72,172.72,177.8,switch,southpaw,6.0,4.0,4.0,2.0,0.6666666666666666,0.5,2.0,1.0,0.5,0.5,12.62,8.2275,231.0,286.0,0.18343600273784944,-2.539999999999992,-5.0800000000000125,2.0,0.16666666666666663,0.0,4.3925,-55.0,switch_vs_southpaw,1
LIGHT_HEAVYWEIGHT,0,MAIN_CARD,2,Australia,29.56605065023956,33.86721423682409,187.96,187.96,187.96,184.15,orthodox,orthodox,12.0,2.0,6.0,0.0,0.5,0.0,6.0,0.0,1.0,0.0,6.550000000000001,15.0,70.0,140.0,-4.301163586584529,0.0,3.8100000000000023,10.0,0.5,1.0,-8.45,-70.0,orthodox_vs_orthodox,1
LIGHT_HEAVYWEIGHT,0,MAIN_CARD,1,Australia,34.888432580424364,35.75359342915811,193.04,193.04,195.58,195.58,orthodox,southpaw,10.0,13.0,9.0,9.0,0.9,0.6923076923076923,6.0,7.0,0.6666666666666666,0.7777777777777778,7.75,7.565384615384615,189.0,168.0,-0.8651608487337441,0.0,0.0,-3.0,0.20769230769230773,-0.11111111111111116,0.18461538461538485,21.0,orthodox_vs_southpaw,1
FEATHERWEIGHT,0,MAIN_CARD,2,USA,29.53867214236824,26.078028747433265,177.8,180.34,177.8,179.07,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.4606433949349764,-2.539999999999992,-1.2699999999999818,0.0,0.0,0.0,,,orthodox_vs_orthodox,0
LIGHT_HEAVYWEIGHT,0,MAIN_CARD,5,USA,22.51334702258727,29.374401095140314,185.42,175.26,189.23,176.53,orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-6.861054072553046,10.159999999999997,12.699999999999989,0.0,0.0,0.0,,,orthodox_vs_Unknown,1
FEATHERWEIGHT,0,MAIN_CARD,4,USA,27.928815879534564,31.953456536618756,172.72,177.8,168.91,185.42,southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-4.024640657084191,-5.0800000000000125,-16.50999999999999,0.0,0.0,0.0,,,southpaw_vs_Unknown,0
W_FLYWEIGHT,0,MAIN_CARD,3,USA,28.637919233401778,26.26694045174538,162.56,167.64,172.72,171.45,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.3709787816563974,-5.079999999999984,1.2700000000000102,0.0,0.0,0.0,,,orthodox_vs_orthodox,1
MIDDLEWEIGHT,0,MAIN_CARD,1,USA,28.123203285420946,26.187542778918548,190.5,190.5,200.66,191.77,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.9356605065023977,0.0,8.889999999999986,0.0,0.0,0.0,,,orthodox_vs_orthodox,0
BANTAMWEIGHT,0,MAIN_CARD,1,USA,26.694045174537987,30.06160164271047,185.42,172.72,190.5,177.8,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-3.3675564681724843,12.699999999999989,12.699999999999989,0.0,0.0,0.0,,,orthodox_vs_orthodox,0
LIGHT_HEAVYWEIGHT,0,MAIN_CARD,2,USA,31.679671457905545,26.822724161533195,190.5,182.88,198.12,186.69,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.856947296372351,7.6200000000000045,11.430000000000007,0.0,0.0,0.0,,,orthodox_vs_orthodox,0
LIGHTWEIGHT,0,MAIN_CARD,3,USA,32.68446269678302,24.087611225188226,180.34,187.96,193.04,181.61,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.596851471594796,-7.6200000000000045,11.429999999999978,0.0,0.0,0.0,,,orthodox_vs_orthodox,1
MIDDLEWEIGHT,0,MAIN_CARD,4,USA,31.66050650239562,27.770020533880903,180.34,190.5,187.96,185.42,orthodox,switch,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5700000000000003,,399.0,3.8904859685147173,-10.159999999999997,2.5400000000000205,-1.0,0.0,0.0,,,orthodox_vs_switch,0
BANTAMWEIGHT,0,MAIN_CARD,5,USA,30.086242299794662,27.148528405201915,175.26,172.72,185.42,170.18,orthodox,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.937713894592747,2.539999999999992,15.23999999999998,0.0,0.0,0.0,,,orthodox_vs_switch,0
WELTERWEIGHT,0,PRELIMS,14,USA,27.756331279945243,24.109514031485283,175.26,180.34,180.34,180.34,orthodox,orthodox,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,15.0,2.2,46.0,32.0,3.6468172484599606,-5.0800000000000125,0.0,0.0,0.0,-1.0,12.8,14.0,orthodox_vs_orthodox,0
W_BANTAMWEIGHT,0,PRELIMS,13,USA,36.49555099247091,19.731690622861056,172.72,177.8,172.72,,orthodox,,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,15.0,,539.0,,16.763860369609855,-5.0800000000000125,,2.0,0.5,0.0,,,orthodox_vs_Unknown,1
FLYWEIGHT,0,PRELIMS,12,USA,29.626283367556468,27.38945927446954,162.56,172.72,170.18,170.18,orthodox,,5.0,0.0,3.0,0.0,0.6,0.0,2.0,0.0,0.6666666666666666,0.0,10.969999999999999,,497.0,,2.236824093086927,-10.159999999999997,0.0,5.0,0.6,0.6666666666666666,,,orthodox_vs_Unknown,0
FLYWEIGHT,0,PRELIMS,10,USA,29.503080082135522,31.824777549623544,162.56,165.1,158.75,162.56,orthodox,orthodox,6.0,2.0,4.0,1.0,0.6666666666666666,0.5,3.0,0.0,0.75,0.0,8.198333333333332,10.95,210.0,161.0,-2.321697467488022,-2.539999999999992,-3.8100000000000023,4.0,0.16666666666666663,0.75,-2.751666666666667,49.0,orthodox_vs_orthodox,1
